index,cnt,type,ts_server,ts_device,data,datetime
0,335,2,1586358057,0.0,"[0, 0, 0, 0, 43, 87, 58, 0, 42, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 57, 53, 50, 0, 0, 0, 0, 0, 49, 59, 58, 54, 67, 62, 52, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 40, 0, 0, 43, 42, 0, 0, 43, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 55, 57, 61, 50, 59, 65, 0, 0, 0, 0, 54, 0, 41, 41, 0, 0, 0, 0, 44, 0, 0, 0, 0, 42, 0, 42, 42, 49, 50, 50, 69, 73, 0, 0, 0, 0, 0, 41, 54, 0, 0, 50, 54, 58, 68, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 43, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 40, 43, 51, 60, 0, 0, 0, 0, 40, 42, 57, 50, 51, 0, 0, 57, 62, 48, 68, 69, 53, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 42, 50, 58, 65, 53, 47, 46, 0, 0, 0, 0, 0, 0, 51, 43, 0, 48, 49, 0, 50, 0, 0, 0, 46, 45, 61, 50, 48, 55, 49, 44, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 43, 0, 46, 46, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 47, 40, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 43, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2020-04-08 15:00:57
1,336,2,1586358059,2000.0,"[0, 0, 0, 0, 43, 87, 58, 0, 42, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 57, 53, 50, 0, 0, 0, 0, 0, 49, 59, 58, 54, 67, 62, 52, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 40, 0, 0, 43, 42, 0, 0, 43, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 55, 57, 61, 50, 59, 65, 0, 0, 0, 0, 54, 0, 41, 41, 0, 0, 0, 0, 44, 0, 0, 0, 0, 42, 0, 42, 42, 49, 50, 50, 69, 73, 0, 0, 0, 0, 0, 41, 54, 0, 0, 50, 54, 58, 68, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 43, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 40, 43, 51, 60, 0, 0, 0, 0, 40, 42, 57, 50, 52, 0, 0, 57, 62, 48, 68, 69, 53, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 42, 50, 58, 65, 53, 47, 46, 0, 0, 0, 0, 0, 0, 51, 43, 0, 48, 49, 0, 50, 0, 0, 0, 46, 45, 61, 50, 48, 55, 49, 44, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 43, 0, 46, 46, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 47, 40, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 43, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2020-04-08 15:00:59
2,337,2,1586358061,4000.0,"[0, 0, 0, 0, 43, 87, 58, 0, 42, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 57, 53, 50, 0, 0, 0, 0, 0, 49, 59, 58, 54, 67, 62, 52, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 40, 0, 0, 43, 42, 0, 0, 43, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 55, 57, 61, 50, 59, 65, 0, 0, 0, 0, 54, 0, 41, 41, 0, 0, 0, 0, 44, 0, 0, 0, 0, 42, 0, 42, 42, 49, 50, 50, 69, 73, 0, 0, 0, 0, 0, 41, 54, 0, 0, 50, 54, 58, 68, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 43, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 40, 43, 51, 60, 0, 0, 0, 0, 40, 42, 57, 50, 52, 0, 0, 59, 61, 48, 69, 68, 53, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 43, 42, 50, 58, 64, 54, 47, 46, 0, 0, 0, 0, 0, 0, 51, 43, 0, 48, 49, 0, 50, 0, 0, 0, 46, 45, 61, 50, 48, 55, 49, 44, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 43, 0, 46, 46, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 47, 40, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 43, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2020-04-08 15:01:01
3,338,2,1586358062,5000.0,"[0, 0, 0, 0, 43, 87, 58, 0, 42, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 57, 53, 50, 0, 0, 0, 0, 0, 49, 59, 58, 54, 67, 62, 52, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 40, 0, 0, 43, 42, 0, 0, 43, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 55, 57, 61, 50, 59, 65, 0, 0, 0, 0, 54, 0, 41, 41, 0, 0, 0, 0, 44, 0, 0, 0, 0, 42, 0, 42, 42, 49, 50, 50, 69, 73, 0, 0, 0, 0, 0, 41, 54, 0, 0, 50, 54, 58, 68, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 43, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 40, 43, 51, 60, 0, 0, 0, 0, 40, 42, 57, 50, 52, 0, 0, 59, 61, 48, 69, 68, 53, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 43, 42, 50, 58, 64, 54, 47, 46, 0, 0, 0, 0, 0, 0, 51, 45, 0, 49, 49, 0, 50, 0, 0, 0, 46, 46, 61, 49, 49, 55, 49, 45, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 44, 0, 46, 46, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 47, 40, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 43, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2020-04-08 15:01:02
4,339,2,1586358064,7000.0,"[0, 0, 0, 0, 43, 87, 58, 0, 42, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 57, 53, 50, 0, 0, 0, 0, 0, 49, 59, 58, 54, 67, 62, 52, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 40, 0, 0, 43, 42, 0, 0, 43, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 55, 57, 61, 50, 59, 65, 0, 0, 0, 0, 54, 0, 41, 41, 0, 0, 0, 0, 44, 0, 0, 0, 0, 42, 0, 42, 42, 49, 50, 50, 69, 73, 0, 0, 0, 0, 0, 41, 54, 0, 0, 50, 54, 58, 68, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 43, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 40, 43, 51, 60, 0, 0, 0, 0, 40, 42, 57, 50, 52, 0, 0, 59, 61, 48, 69, 68, 53, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 43, 42, 50, 58, 64, 54, 47, 46, 0, 0, 0, 0, 0, 0, 51, 45, 0, 49, 49, 0, 50, 0, 0, 0, 46, 46, 61, 49, 49, 55, 49, 45, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 44, 0, 47, 48, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 44, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2020-04-08 15:01:04
5,340,2,1586358066,9000.0,"[0, 0, 0, 0, 45, 87, 61, 0, 41, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 56, 52, 49, 40, 0, 0, 0, 0, 45, 57, 59, 53, 66, 63, 52, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 40, 0, 0, 43, 42, 0, 0, 43, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 55, 57, 61, 50, 59, 65, 0, 0, 0, 0, 54, 0, 41, 41, 0, 0, 0, 0, 44, 0, 0, 0, 0, 42, 0, 42, 42, 49, 50, 50, 69, 73, 0, 0, 0, 0, 0, 41, 54, 0, 0, 50, 54, 58, 68, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 43, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 40, 43, 51, 60, 0, 0, 0, 0, 40, 42, 57, 50, 52, 0, 0, 59, 61, 48, 69, 68, 53, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 43, 42, 50, 58, 64, 54, 47, 46, 0, 0, 0, 0, 0, 0, 51, 45, 0, 49, 49, 0, 50, 0, 0, 0, 46, 46, 61, 49, 49, 55, 49, 45, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 44, 0, 47, 48, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 44, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2020-04-08 15:01:06
6,341,7,1586358066,9000.0,26,2020-04-08 15:01:06
7,342,2,1586358068,11000.0,"[0, 0, 0, 0, 45, 87, 61, 0, 41, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 56, 52, 49, 40, 0, 0, 0, 0, 45, 57, 59, 53, 66, 63, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 46, 0, 0, 0, 44, 43, 0, 0, 43, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 40, 55, 57, 61, 51, 59, 66, 0, 0, 0, 0, 54, 0, 43, 41, 0, 0, 0, 0, 43, 0, 0, 0, 0, 41, 0, 43, 42, 49, 51, 50, 69, 74, 0, 0, 0, 0, 0, 40, 53, 40, 46, 50, 53, 57, 67, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 43, 52, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 42, 52, 61, 0, 0, 0, 46, 40, 44, 58, 50, 52, 0, 0, 58, 62, 48, 69, 69, 53, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 43, 42, 50, 58, 64, 53, 47, 46, 0, 0, 0, 0, 0, 0, 51, 45, 0, 48, 48, 0, 50, 0, 0, 0, 47, 46, 62, 49, 50, 57, 49, 44, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 45, 0, 47, 47, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 44, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2020-04-08 15:01:08
8,343,2,1586358069,12000.0,"[0, 0, 0, 0, 44, 87, 61, 0, 43, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 56, 52, 49, 40, 0, 0, 0, 0, 45, 57, 59, 53, 66, 63, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 46, 0, 0, 0, 44, 43, 0, 0, 43, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 40, 55, 57, 61, 51, 59, 66, 0, 0, 0, 0, 54, 0, 43, 41, 0, 0, 0, 0, 43, 0, 0, 0, 0, 41, 0, 43, 42, 49, 51, 50, 69, 74, 0, 0, 0, 0, 0, 40, 53, 40, 46, 50, 53, 57, 67, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 43, 52, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 42, 52, 61, 0, 0, 0, 46, 40, 44, 58, 50, 52, 0, 0, 58, 62, 48, 69, 69, 53, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 43, 42, 50, 58, 64, 53, 47, 46, 0, 0, 0, 0, 0, 0, 51, 45, 0, 48, 48, 0, 50, 0, 0, 0, 47, 46, 62, 49, 50, 57, 49, 44, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 45, 0, 47, 47, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 43, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2020-04-08 15:01:09
9,344,2,1586358071,14000.0,"[0, 0, 0, 0, 44, 87, 61, 0, 43, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 56, 52, 49, 40, 0, 0, 0, 0, 45, 57, 59, 53, 66, 63, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 46, 0, 0, 0, 44, 43, 0, 0, 43, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 40, 55, 57, 61, 51, 59, 66, 0, 0, 0, 0, 54, 0, 43, 41, 0, 0, 0, 0, 43, 0, 0, 0, 0, 41, 0, 43, 42, 49, 51, 50, 69, 74, 0, 0, 0, 0, 0, 40, 53, 40, 46, 50, 53, 57, 67, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 43, 52, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 42, 52, 61, 0, 0, 0, 46, 40, 44, 58, 50, 52, 0, 0, 58, 62, 48, 69, 69, 53, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 43, 42, 50, 58, 64, 53, 47, 46, 0, 0, 0, 0, 0, 0, 51, 45, 0, 48, 48, 0, 50, 0, 0, 0, 47, 46, 62, 49, 50, 57, 49, 44, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 45, 0, 47, 47, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 43, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2020-04-08 15:01:11
